alg,pr_diff_avg,pr_diff_05,pr_diff_worst,tpr_diff_avg,tpr_diff_05,tpr_diff_worst,eo_diff_avg,eo_diff_05,eo_diff_worst,acc_avg,acc_05,acc_worst
uncorrected,0.04213392664258703,0.051340296256094785,0.1168748541980361,0.039225719726731674,0.0692463611502283,0.1214627727521214,0.07093965386557208,0.09918503585360505,0.1729834237772723,0.7252143564356434,0.8177,0.2148333333333333
full_corr,0.0020765853430750455,0.001656792800426451,0.0150206285094777,0.024735587752825423,0.051537989072540445,0.0893035338095766,0.031854888410575925,0.055435682095449856,0.09436347760115492,0.7210217821782178,0.8162000000000003,0.2116666666666666
ours_tpr,0.014196403569733732,0.018673556827429813,0.0514185351254137,0.012770300467060236,0.014444263390397599,0.0601135088235995,0.020482669832849115,0.02397538547253867,0.07964962899143113,0.7215376237623762,0.8170499999999998,0.2116666666666666
pleiss_tpr,0.042736565423513215,0.01970216909567577,0.261968218361969,0.09578827009565279,0.2325249767106352,0.3366666666666666,0.1314836759248586,0.2325249767106353,0.38311376838980266,0.79232700492327,0.9788721127887212,0.1161883811618838
feldman_tpr,0.17408520626630422,0.17492367291840813,0.3635357074179125,0.1560713965584329,0.1774969712648593,0.3436806525958532,0.25715748611109274,0.2664913686857244,0.5916774154484226,0.7722976013817597,0.8117997542997543,0.472051597051597
ours_eo,0.014117309312633775,0.018647915801788793,0.0514185351254137,0.012802972592390369,0.01456135940913297,0.0601135088235995,0.020464625458321013,0.024092481491274034,0.07906857146673613,0.7215364686468647,0.8170333333333332,0.2116666666666666
pleiss_eo,0.10312356221306003,0.11005276768217871,0.4355450584374024,0.30162212417116907,0.6533798126044291,0.8940809968847352,0.3648561340512838,0.6533798126044291,1.2464769294248377,0.7917113239171132,0.9795820417958204,0.114988501149885
feldman_eo,0.1742910236912576,0.17448982531732193,0.3588198884669006,0.1594823423856771,0.18072046506191491,0.3436806525958532,0.25910429126281176,0.2673969262411443,0.5916774154484226,0.7740153745104241,0.8137960687960687,0.472051597051597
feldman_pr,0.17488498784232903,0.17593739503624065,0.3681175108932461,0.15882995859686158,0.1852517757495587,0.342956283182432,0.25966615773066687,0.27272857705517695,0.601270812372656,0.7731685600992532,0.8136855036855037,0.4632678132678132
feldman_acc,0.1829980839968182,0.18436115479732892,0.3774135348583878,0.1642705945007435,0.18784544758312566,0.3444071619484575,0.2746203793578526,0.28562664557433437,0.6076147313336387,0.7696349161943221,0.8099508599508599,0.464004914004914
