trial,metric,soln,asian,black,hispanic,white
0,tpr,lexi,0.03766897061008773,0.5060941961047772,0.6566584323381448,0.16600082443364259
0,tpr,maxmin,0.29804040299198126,0.44957365867159943,0.5604512738081482,0.2977475253765099
0,fpr,lexi,0.15905462437007514,0.2648384115316489,0.18886438296054445,0.26147469245433413
0,fpr,maxmin,0.8727349645995285,0.25813423333668867,0.002743580754550835,0.45691813854710556
1,tpr,lexi,0.2021035018903872,0.4123765276991609,0.740443046092405,0.08768617058501905
1,tpr,maxmin,0.12048905962755549,0.3973523943690311,0.7089096352523143,0.4205220682069529
1,fpr,lexi,1.05683659939115,0.19177512135354255,0.19400017911832815,0.0230788110722684
1,fpr,maxmin,0.9551299063038344,0.27615310490221745,0.37111810538693674,0.3170424444457952
2,tpr,lexi,1.0087252830879452,0.5567059310633229,0.6737260785454625,0.9980299597699991
2,tpr,maxmin,0.9580502608563722,0.5383277949155977,0.6454860877703873,0.2633434416227711
2,fpr,lexi,0.3038556730427525,0.265494724216293,0.2448945560559666,1.6982945939905785
2,fpr,maxmin,0.4178642794326519,0.3769968988121983,0.44883550835731845,0.43625930177748995
3,tpr,lexi,1.040544701022282,0.5342786613823755,0.6240443792304805,0.10581553875742195
3,tpr,maxmin,0.30221397124209376,0.49258947409596643,0.5580890127968687,0.28883348356082494
3,fpr,lexi,1.0377881252723369,0.2610906138026648,0.05257418182814281,0.3049218295316023
3,fpr,maxmin,0.957841786754205,0.40160043415883423,0.3100497403799785,0.549355284259755
4,tpr,lexi,0.006697888797639931,0.49060480410391794,0.6878482496774428,0.7918220338665944
4,tpr,maxmin,0.18598857622348797,0.44174447112280596,0.6005616416417867,0.336112898087261
4,fpr,lexi,1.022921985316204,0.2614820209241797,0.22475076529741048,0.26905968169303957
4,fpr,maxmin,0.9280656482217428,0.3336969188079691,0.3739609712672859,0.3214664049074957
5,tpr,lexi,0.9248442041268601,0.5581350772099457,0.613013554462968,0.9818992298112321
5,tpr,maxmin,0.3038906760889727,0.48642827498500035,0.48882971150304805,0.2896726404499281
5,fpr,lexi,0.9314686932289598,0.26277629353239224,0.24231759974890968,0.9726111285700133
5,fpr,maxmin,0.8296927797596877,0.3868504818551848,0.4773980596279073,0.9041737611381908
6,tpr,lexi,-0.20430560012532678,0.5432378332330642,0.6345898036205726,0.792668255925933
6,tpr,maxmin,0.30616856485336247,0.4956453031998327,0.5521099574457414,0.3020879131135493
6,fpr,lexi,1.015885782937339,0.20856215315016177,0.2286679485834671,0.4230230035845188
6,fpr,maxmin,0.93315226153297,0.2451860341871732,0.2995296896674302,0.4279842769092693
7,tpr,lexi,-0.007640072576134095,0.550395786647323,0.5233740807223362,0.005130434786227775
7,tpr,maxmin,0.29480630945956543,0.4766918812633073,0.41058499365786577,0.30489219974422593
7,fpr,lexi,0.3324412360872068,0.24129795692760095,0.20680657037475564,0.25250497047115134
7,fpr,maxmin,0.9990288551453017,0.5001184189379859,0.6455161580647277,0.4388070941895554
8,tpr,lexi,0.02765789123315601,0.5235670585151846,0.5143659109840347,-0.882944746598431
8,tpr,maxmin,0.30125204540277734,0.5123158150143589,0.49486368996518254,0.2982214068771766
8,fpr,lexi,-0.001285120466062428,0.21990550187875132,0.26057160669764035,0.12615486543532498
8,fpr,maxmin,0.04114139414273816,0.21655903572743057,0.25384908234572123,0.16735162928233394
9,tpr,lexi,1.026932225138035,0.5623894695731539,0.6612111014790746,-0.05167853787811989
9,tpr,maxmin,0.9983938969680429,0.5738405782727201,0.6772399102119769,0.28994648370765824
9,fpr,lexi,0.4865135341345411,0.303484531469029,0.2961991514597509,0.4833506622593624
9,fpr,maxmin,0.4800411661961801,0.3771188240007002,0.42717529616041305,0.9972043366814924
